Skor Mentah (X),Nilai IQ = 100+15*Z,Rata2 Kumulatif  (μ) ,Std Deviasi Kumulatif (𝜎),Z = (X-μ)/𝜎
0,39,43,11,-4
1,41,43,11,-4
2,42,43,11,-4
3,44,43,11,-4
4,45,43,11,-4
5,46,43,11,-4
6,48,43,11,-3
7,49,43,11,-3
8,51,43,11,-3
9,52,43,11,-3
10,53,43,11,-3
11,55,43,11,-3
12,56,43,11,-3
13,58,43,11,-3
14,59,43,11,-3
15,61,43,11,-3
16,62,43,11,-3
17,63,43,11,-2
18,65,43,11,-2
19,66,43,11,-2
20,68,43,11,-2
21,69,43,11,-2
22,70,43,11,-2
23,72,43,11,-2
24,73,43,11,-2
25,75,43,11,-2
26,76,43,11,-2
27,78,43,11,-1
28,79,43,11,-1
29,80,43,11,-1
30,82,43,11,-1
31,83,43,11,-1
32,85,43,11,-1
33,86,43,11,-1
34,87,43,11,-1
35,89,43,11,-1
36,90,43,11,-1
37,92,43,11,-1
38,93,43,11,0
39,95,43,11,0
40,96,43,11,0
41,97,43,11,0
42,99,43,11,0
43,100,43,11,0
44,102,43,11,0
45,103,43,11,0
46,104,43,11,0
47,106,43,11,0
48,107,43,11,0
49,109,43,11,1
50,110,43,11,1
51,112,43,11,1
52,113,43,11,1
53,114,43,11,1
54,116,43,11,1
55,117,43,11,1
56,119,43,11,1
57,120,43,11,1
58,121,43,11,1
59,123,43,11,2
60,124,43,11,2
61,126,43,11,2
62,127,43,11,2
63,129,43,11,2
64,130,43,11,2
65,131,43,11,2
66,133,43,11,2
67,134,43,11,2
68,136,43,11,2
69,137,43,11,2
70,138,43,11,3
71,140,43,11,3
72,141,43,11,3
73,143,43,11,3
74,144,43,11,3
75,146,43,11,3
76,147,43,11,3
77,148,43,11,3
78,150,43,11,3
79,151,43,11,3
80,153,43,11,4
81,154,43,11,4
82,155,43,11,4
83,157,43,11,4
84,158,43,11,4
85,160,43,11,4
86,161,43,11,4
87,163,43,11,4
88,164,43,11,4
89,165,43,11,4
90,167,43,11,4
91,168,43,11,5
92,170,43,11,5
93,171,43,11,5
94,172,43,11,5
95,174,43,11,5
96,175,43,11,5
97,177,43,11,5
98,178,43,11,5
99,180,43,11,5
100,181,43,11,5
